"Time","982.0910612 33691","982.0910612 33747","982.0910612 33768","982.0910612 33812","982.0910612 33830","982.0910612 33847","982.0910612 33853","982.0910612 33870","982.0910612 33888","982.0910612 33926","982.0910612 33937","982.0910612 33983","982.0910612 34004","982.0910612 34020","982.0910612 34022","982.0910612 34029","982.0910612 34040","982.0910612 34056","982.0910612 34060","982.0910612 34061","982.0910612 34076","982.0910612 34077","982.0910612 34081","982.0910612 34105","982.0910612 34109","982.0910612 34111","982.0910612 34161","982.0910612 34198","982.0910612 34200","982.0910612 34253","982.0910612 34256","982.0910612 34270","982.0910612 34276","982.0910612 34299","982.0910612 34311","982.0910612 34317","982.0910612 34318","982.0910612 34321","982.0910612 34328","982.0910612 34330","982.0910612 34344","982.0910612 34357","982.0910612 34378","982.0910612 34391","982.0910612 34405","982.0910612 34425","982.0910612 34427","982.0910612 34486","982.0910612 34497","982.0910612 34527","982.0910612 33748","982.0910612 33759","982.0910612 33774","982.0910612 33782","982.0910612 33819","982.0910612 33879","982.0910612 33898","982.0910612 33931","982.0910612 33969","982.0910612 33990","982.0910612 34006","982.0910612 34032","982.0910612 34052","982.0910612 34063","982.0910612 34069","982.0910612 34096","982.0910612 34108","982.0910612 34122","982.0910612 34130","982.0910612 34135","982.0910612 34142","982.0910612 34177","982.0910612 34194","982.0910612 34197","982.0910612 34227","982.0910612 34242","982.0910612 34244","982.0910612 34278","982.0910612 34338","982.0910612 34395","982.0910612 34422","982.0910612 34434","982.0910612 34498","982.0910612 34526","982.0910612 34364"
0,191.62,222.41,146.65,181.72,154.4,119.05,157.33,200.87,211.3,203.5,150.76,147.42,90.95,147.4,125.73,122.76,120.92,191.86,147.26,216.86,161.3,160.8,100.54,140.2,138.45,147.53,187.6,120.64,127.03,144.49,128.77,141.38,188.5,175.89,90.36,211.95,140.32,203.87,165.57,116.99,92.58,135.13,218.18,115.99,158.33,180.12,145.06,189.13,109.03,127.55,143.44,187,181.12,154.31,281.05,270.65,231.04,117.55,128.15,175.55,146.43,229.46,204.91,214.91,219.71,134.89,231.84,116.72,262.67,122.09,161.27,257.91,253.3,294.94,237.52,255.44,115.37,199.38,198.39,126.58,97.97,168.91,89.99,98.09,NA
48,201.61,228.28,150.61,184.14,160,124.46,165.24,205.73,214.64,216.37,160.91,157.77,95.34,155,129.19,126.59,127.06,207.45,151.51,224.7,163.96,165.81,107.58,144.81,148.15,150.29,187.59,122.75,136.94,151.12,136.89,141.09,197.21,187.79,95.17,223.26,143.99,211.06,169.98,122.61,95.82,139.15,215.05,123.56,160.76,NA,155.63,189.29,115.44,130.57,NA,178.8,177.94,150.01,280.34,257.77,230.66,113.27,126.13,172.79,142.22,221.62,204.71,207.53,218.43,133.52,223.3,114.53,251.74,122.14,157.41,260.59,246.98,282.83,230.19,245.91,113.1,199.09,196.99,128.17,95.74,168.79,85.33,100.35,177.84
101,203.25,234.04,153.75,181.08,172.61,126.61,172.65,206.86,214.43,224.94,161.19,162.34,96.25,158.83,134.21,127.39,130.04,210.41,157.19,235.29,168.02,165.8,108.44,148.68,148.67,155.56,196.3,127.29,139.04,154.94,141.12,144.37,197.43,193.13,97.81,229.53,141.26,210.77,171.87,126.91,99.25,148.54,218.15,120.21,162.56,NA,156.87,193.78,120.28,134.23,NA,NA,185.2,152.88,277.15,252.64,229.58,117.27,132.35,180.87,142.14,223.59,214.41,207.08,218.2,136.95,226.08,117.89,246.76,124.69,161.48,251.4,247.85,281.69,228.4,241.15,113.74,200.33,194.59,130.51,98.39,170.56,85.23,106.95,178.62
157,207.38,239.79,156.61,177.28,171.67,130.44,178.69,214.55,209.25,235.72,162.04,164.58,99.04,159.41,135.58,126.94,NA,216.04,162.15,238.86,170.14,164.72,109.44,145.51,154.2,159.57,198.68,131.31,142.94,155.65,148.23,145.17,NA,205.01,99.4,232.45,141.64,209.94,NA,131.5,99.69,151.45,220.33,120.42,164.81,178.69,158.78,202.51,125.02,137.32,NA,NA,186.27,156.2,273.46,251.16,224.51,121.54,135.75,184.59,141.86,223.9,215.25,206.96,218.33,NA,227.38,118.15,241.18,127.37,163.43,NA,248.85,281.23,225.28,NA,112.83,199.16,195.16,129.23,99.7,171.74,84.5,108.06,NA
