"Time","982.0910612 33652","982.0910612 33667","982.0910612 33704","982.0910612 33735","982.0910612 33756","982.0910612 33760","982.0910612 33761","982.0910612 33789","982.0910612 33801","982.0910612 33813","982.0910612 33838","982.0910612 33839","982.0910612 33841","982.0910612 33846","982.0910612 33854","982.0910612 33873","982.0910612 33894","982.0910612 33913","982.0910612 33932","982.0910612 33958","982.0910612 33962","982.0910612 33975","982.0910612 33988","982.0910612 34113","982.0910612 34129","982.0910612 34155","982.0910612 34202","982.0910612 34214","982.0910612 34220","982.0910612 34246","982.0910612 34252","982.0910612 34265","982.0910612 34267","982.0910612 34279","982.0910612 34284","982.0910612 34292","982.0910612 34302","982.0910612 34332","982.0910612 34359","982.0910612 34362","982.0910612 34408","982.0910612 34419","982.0910612 34435","982.0910612 34442","982.0910612 34471","982.0910612 34483","982.0910612 34500","982.0910612 34508","982.0910612 33712","982.0910612 33722","982.0910612 33755","982.0910612 33762","982.0910612 33763","982.0910612 33780","982.0910612 33818","982.0910612 33822","982.0910612 33850","982.0910612 33858","982.0910612 33863","982.0910612 33871","982.0910612 33884","982.0910612 33899","982.0910612 33944","982.0910612 33963","982.0910612 33965","982.0910612 34065","982.0910612 34074","982.0910612 34112","982.0910612 34153","982.0910612 34158","982.0910612 34162","982.0910612 34237","982.0910612 34240","982.0910612 34306","982.0910612 34308","982.0910612 34325","982.0910612 34329","982.0910612 34354","982.0910612 34461","982.0910612 34467","982.0910612 34511","982.0910612 34513","982.0910612 34543","982.0910612 34545"
0,152.4,111.65,155.8,206.03,115.18,149.61,199,84.28,157.57,130.99,112.37,187.92,121.11,132.97,162.19,191.32,172.77,114.73,115.78,139.2,192.75,173.38,127.62,176.64,165.79,112.23,133.75,124.58,165.52,136.21,209.69,218.64,196.91,168.98,137.18,122.4,77.19,114.91,150.37,142.47,140.41,118.97,181.25,149.28,177.02,187.84,164.93,159.59,175.74,157.47,148.83,111.39,214.75,185.49,135.45,176.39,245.08,223.46,134.02,205.33,186.85,203.21,259.41,160.95,127.72,212.17,213.38,207.93,201.73,144.2,193.1,170.15,137.79,295.28,92.09,273.97,149.64,246.3,153.2,105.57,257.52,148.41,153.6,139.15
48,163.03,114.99,159.02,223.29,126,161.94,199.89,88.66,171.43,137.19,119.3,199.89,129.49,146.51,168.97,213.41,182.73,132.69,118.96,155.12,199.41,178.13,132.11,188.84,178.56,113.3,139.51,134.28,190.61,135.97,248.41,241.53,212.24,172.06,137.27,129.99,NA,112.96,159.01,147.74,149.57,121.16,201.5,157.91,180.08,215.02,173.71,154.76,174.74,155.41,140.19,114.16,217.49,190.05,128.37,168.72,262.86,215.48,127.1,219.34,192.03,204.3,247.37,171.9,128.01,226.58,217.93,221.46,195.9,150.67,196.38,170.2,133.73,292.36,87.22,280.14,144.46,242.44,156.82,103.99,259.26,139.4,164.36,136.84
101,167.22,116.46,159.84,225.99,124.52,170.95,198.08,87.25,180.23,138.89,119.34,199.28,129.44,150.86,172.51,216.55,190.43,138.58,118.82,160.16,202.54,181.44,132.92,188.62,180.77,114.41,144.09,134.63,203.39,142.64,253.25,245.27,217.23,174.82,141.44,134.04,NA,116.23,160.52,149.13,150.79,125.65,202.29,162.55,187.06,218.03,175.38,157.98,172.53,155.97,136.11,115.46,218.09,187.29,130.33,167.47,265.9,206.2,128.41,221.9,196.97,199.82,243.39,174.7,127.67,221.72,214.47,229.93,196.1,149.69,191.66,167.55,136,302.38,87.29,276.52,145.35,232.3,159.24,103.93,260.57,136.59,164.8,137.53
157,169.97,119.18,NA,231.08,130.01,178.31,195.49,90.37,194.64,141.01,122.4,200.81,134.5,NA,182.2,219.33,201.35,146.41,NA,170.26,207.07,185.95,134.42,191.26,185.76,116.94,148.87,141.28,226.77,143.28,273.36,261.77,228.13,179.18,146.68,142.1,NA,116.54,164.44,152.38,151.49,135.53,215.22,167.93,206.97,227.97,178.52,164.01,172.11,156.15,NA,110.8,217.16,188.54,130.82,164.33,264.63,213.83,128.94,218.1,203.56,198.42,238.33,177.03,138,223.23,219.05,236.01,193.4,149.39,191.96,162.91,135.37,289.36,88.16,NA,147.96,NA,156.89,107.22,258.97,139.03,162.62,137.4
