"Time","982.0910612 33705","982.0910612 33717","982.0910612 33733","982.0910612 33773","982.0910612 33802","982.0910612 33842","982.0910612 33857","982.0910612 33866","982.0910612 33878","982.0910612 33886","982.0910612 33896","982.0910612 33912","982.0910612 33946","982.0910612 33954","982.0910612 33960","982.0910612 33980","982.0910612 33982","982.0910612 33985","982.0910612 34008","982.0910612 34023","982.0910612 34037","982.0910612 34048","982.0910612 34064","982.0910612 34075","982.0910612 34097","982.0910612 34114","982.0910612 34123","982.0910612 34148","982.0910612 34170","982.0910612 34174","982.0910612 34201","982.0910612 34230","982.0910612 34268","982.0910612 34287","982.0910612 34303","982.0910612 34310","982.0910612 34320","982.0910612 34361","982.0910612 34363","982.0910612 34384","982.0910612 34389","982.0910612 34430","982.0910612 34445","982.0910612 34455","982.0910612 34466","982.0910612 34495","982.0910612 34504","982.0910612 34512","982.0910612 34520","982.0910612 34521","982.0910612 33765","982.0910612 33792","982.0910612 33803","982.0910612 33824","982.0910612 33828","982.0910612 33905","982.0910612 33929","982.0910612 33935","982.0910612 33949","982.0910612 33955","982.0910612 33989","982.0910612 33996","982.0910612 33997","982.0910612 34000","982.0910612 34028","982.0910612 34035","982.0910612 34054","982.0910612 34066","982.0910612 34110","982.0910612 34145","982.0910612 34186","982.0910612 34221","982.0910612 34305","982.0910612 34337","982.0910612 34355","982.0910612 34386","982.0910612 34432","982.0910612 34484","982.0910612 34496","982.0910612 34515","982.0910612 34529","982.0910612 34536","982.0910612 34537","985.1210191 14488"
0,129.89,143,187.36,117.18,123.2,187.01,178.67,156.83,166.95,110.09,105.1,148.68,134.37,187.26,226.67,162.02,219.73,184.98,207.93,175,141.84,153.16,146.87,156.64,120.96,209.38,195.46,184.9,148.01,213.75,118.71,121.27,106.1,119.14,141.64,167.29,224.99,128.8,205.94,101.7,139.85,207.46,169.27,127.72,264.9,131.5,108.68,179.63,204.7,191.08,176.38,200.83,203.49,226.29,199.76,144.22,144.6,132.82,179.48,292.55,190.71,171.41,276.26,153.91,175.89,212.33,212.67,165.44,160.35,192.96,178.79,194.82,216.51,230.92,291.49,159.92,157.3,194.64,259.62,245.85,221.86,296.34,125.72,196.48
48,132.64,152.32,195.87,119.75,132.98,205.33,188.01,158.97,176.95,119.6,108.63,159.78,148.25,198.79,213.66,180.94,233.09,185.98,217.29,178.93,149.81,161.89,169.74,157.77,127.18,222.64,202.84,220.05,160.36,242.2,129.27,135.51,113.16,123.65,148.18,172.76,247.81,131.4,211.77,104.09,143.13,217.02,176.23,140.01,288.01,144.22,115.04,195.56,222.5,204.68,188.53,212.37,219.11,226.37,199.68,152.9,146.77,143.59,183.81,294.35,190.85,179.61,275.94,159.49,185.31,216.96,211.76,180.41,167.03,202.62,190.8,206.19,213.91,236.68,293.49,178.69,168.39,203.27,270.39,242.11,227.75,295.28,136.95,203.63
101,135.83,162.04,199.53,123.61,137.12,216.56,194.04,163.99,179.6,127.59,109.85,170.49,151.59,200.58,214.23,189,234.24,195.63,223.28,184.02,152.16,167.16,177.32,167.07,130.12,221.09,205.36,230.45,169.68,241.78,137.24,149.33,113.13,126.6,158.13,177.28,258.49,134.49,220.45,106.46,145.69,215.31,182.98,144.93,287.84,149.42,118.42,209.93,234.2,208.71,191.4,224.8,224.75,220.82,198.33,152.21,147.68,145.94,184.96,304.35,190.01,191.51,274.62,161.86,180.81,215.28,215.97,181.05,168.49,209.8,196.09,206.99,211.6,237.75,295.24,180.16,182.38,203.43,264.76,245.4,226.73,295.83,140.97,203.31
157,137.05,167.24,202.4,126.03,137.15,222.57,197.29,167.78,174.1,137.82,112.43,179.11,156.91,195.82,217.81,185.13,NA,205.41,226.36,185.49,150.84,175.18,183.4,169.93,132.07,NA,206.87,232.8,174.15,247.61,NA,162.44,110.51,127.61,161.93,183.82,264.57,139.4,224.07,107.37,149.85,NA,191.99,150.8,285.39,152.46,120.8,220.54,241.33,210.11,192.22,225.66,229.78,223.15,196.14,164.67,NA,146.11,191.75,320.95,183.81,205.84,274,160.76,178.82,NA,217.9,187.27,172.34,214.09,200.31,205.09,213.52,242.82,291.83,181.26,191.57,200.58,255.99,239.72,226.81,298.14,140.7,200.52
