"Time","982.0910612 33746","982.0910612 33811","982.0910612 33831","982.0910612 33834","982.0910612 33907","982.0910612 33930","982.0910612 33961","982.0910612 33967","982.0910612 33971","982.0910612 33976","982.0910612 34013","982.0910612 34027","982.0910612 34086","982.0910612 34089","982.0910612 34150","982.0910612 34166","982.0910612 34169","982.0910612 34176","982.0910612 34188","982.0910612 34196","982.0910612 34216","982.0910612 34254","982.0910612 34275","982.0910612 34277","982.0910612 34282","982.0910612 34285","982.0910612 34313","982.0910612 34352","982.0910612 34375","982.0910612 34379","982.0910612 34383","982.0910612 34387","982.0910612 34397","982.0910612 34433","982.0910612 34440","982.0910612 34447","982.0910612 34453","982.0910612 34460","982.0910612 34470","982.0910612 34473","982.0910612 34475","982.0910612 34519","982.0910612 34533","982.0910612 34540","982.0910612 34544","982.0910612 33665","982.0910612 33724","982.0910612 33783","982.0910612 33806","982.0910612 33827","982.0910612 33844","982.0910612 33855","982.0910612 33869","982.0910612 33893","982.0910612 33903","982.0910612 33924","982.0910612 33927","982.0910612 34001","982.0910612 34017","982.0910612 34088","982.0910612 34104","982.0910612 34134","982.0910612 34139","982.0910612 34141","982.0910612 34143","982.0910612 34147","982.0910612 34187","982.0910612 34219","982.0910612 34223","982.0910612 34225","982.0910612 34232","982.0910612 34273","982.0910612 34340","982.0910612 34345","982.0910612 34382","982.0910612 34412","982.0910612 34437","982.0910612 34441","982.0910612 34462","982.0910612 34476","982.0910612 34517","982.0910612 34530","982.0910612 34541"
0,122.54,176.33,120.6,150.98,112.19,119.07,140.66,179.24,194.25,210.76,135.3,208.06,145.37,187.1,163.1,111.34,174.86,220.37,178.45,139.73,151.12,179.9,247.98,100.65,220.55,118.22,165.13,128.9,170.84,153.58,120.54,144.56,295.21,139.37,255.09,135.31,143.31,153.75,143.57,161.47,135.36,86.47,129.3,143.4,194.09,79.64,274.87,206.87,233.7,239.59,289.45,229.04,290.34,214.49,230.05,117.73,134.3,116.17,200.68,151.54,204.78,219.86,261.66,175.23,188.07,NA,224.98,76.82,208.59,250.92,207.27,255.64,142.94,163.35,193.11,217.53,215.98,165.82,179.01,178.25,170.43,120.01,161.83
48,125.49,183.24,121.12,154.75,112.05,121.38,NA,191.01,193.47,200.42,140.03,217.33,140.51,199.66,171.82,110.72,177.32,NA,204.27,138.24,155.04,181.16,261.45,105.51,212.44,118.31,173.86,132.59,178.89,153.48,127.19,151.63,314.35,139.99,273.95,134.14,147.76,150.28,146.22,156.96,137.49,87.79,NA,147.44,190.06,78.92,253.81,210.58,222.66,245.92,284.24,227.94,269.21,210.44,227.06,119.09,130.06,112.03,183.43,150.63,NA,225.58,244.65,192.21,178,164.97,220.49,73.02,203.27,252.92,204.72,249.23,141.24,164.09,197.67,207.64,221.01,160.98,178.69,185.38,162.32,116.1,156.77
101,127.86,188.19,122.73,156.31,113.89,124.98,NA,199.81,193.54,195.72,142.14,211.69,139.5,216.15,173.71,109.68,181.54,NA,221.72,137.18,160.14,180.46,261.32,108.89,212.47,119.36,170.29,135.01,182.44,152.02,127.17,149.06,304.03,142.67,277.37,131.79,147.99,151.04,146.43,156.05,139.57,90.63,NA,159.25,187.67,79.55,244.71,211.3,224.62,242.52,289.4,226.29,263.39,204.25,228.64,116.88,122.02,113.32,176.62,151.42,NA,214.4,242.18,195.13,180.69,159.41,213.67,70.72,205.39,256.88,196.62,248.32,140.61,161.93,206.01,203.75,221.83,161.46,178.96,190.67,158.01,114.57,155.39
157,122.72,197.27,124.1,156.46,115.01,129.7,NA,209.85,194.22,197.86,144.44,206.51,NA,232.8,175.82,112.25,180.42,NA,245.68,136.37,163.87,NA,277.68,112.63,211.93,121.56,NA,137.29,187.9,152.74,127.5,146.38,295.76,144.44,284.94,133.79,150.05,157.59,148.45,153.94,143.55,93.65,NA,173.83,186.5,82.05,237.16,208.86,219.76,249.66,292.21,216.8,256.54,196.64,232.49,116.53,NA,115.39,175.9,149.86,NA,210.45,235.54,198.56,178.93,156.3,NA,70.38,201.93,254.69,190.34,248.31,139.65,NA,210.97,205.24,216.3,158.3,175.07,201.58,NA,115.2,152.65
